,Stock,Fast_MA,Slow_MA,Return
370,AMICA,55,131,"-66,579324"
217,AMICA,30,166,"-66,798466"
308,AMICA,45,126,"-67,087335"
149,AMICA,20,181,"-68,601407"
683,AMICA,120,201,"-69,268794"
709,AMICA,130,176,"-69,717039"
419,AMICA,65,91,"-70,085596"
645,AMICA,110,186,"-70,145362"
151,AMICA,20,191,"-71,450253"
610,AMICA,105,106,"-71,689317"
656,AMICA,115,151,"-71,798888"
474,AMICA,75,101,"-71,938342"
240,AMICA,35,111,"-72,91452"
528,AMICA,85,126,"-74,478397"
233,AMICA,35,76,"-75,673717"
405,AMICA,60,161,"-75,733483"
131,AMICA,20,91,"-76,40087"
239,AMICA,35,106,"-76,6997"
251,AMICA,35,166,"-77,128023"
314,AMICA,45,156,"-77,49658"
558,AMICA,90,161,"-77,735644"
198,AMICA,30,71,"-78,881159"
779,AMICA,160,181,"-79,110262"
398,AMICA,60,126,"-80,753827"
708,AMICA,130,171,"-81,500902"
128,AMICA,20,76,"-81,610473"
579,AMICA,95,156,"-81,869459"
751,AMICA,145,191,"-81,899342"
208,AMICA,30,121,"-81,998952"
736,AMICA,140,176,"-82,028835"
116,AMICA,15,201,"-82,118484"
76,AMICA,10,191,"-82,417314"
559,AMICA,90,166,"-82,666339"
665,AMICA,115,196,"-83,622595"
508,AMICA,80,146,"-83,991152"
547,AMICA,90,106,"-86,26226"
424,AMICA,65,116,"-86,351909"
661,AMICA,115,176,"-86,521246"
224,AMICA,30,201,"-86,76031"
319,AMICA,45,181,"-86,849959"
150,AMICA,20,186,"-87,447619"
147,AMICA,20,171,"-87,646839"
110,AMICA,15,171,"-87,85602"
276,AMICA,40,126,"-88,075162"
604,AMICA,100,176,"-88,623017"
682,AMICA,120,196,"-90,74471"
348,AMICA,50,171,"-91,163072"
562,AMICA,90,181,"-93,13535"
499,AMICA,80,101,"-93,464063"
523,AMICA,85,101,"-94,021879"
222,AMICA,30,191,"-94,270904"
188,AMICA,25,196,"-94,52989"
113,AMICA,15,186,"-94,988096"
431,AMICA,65,151,"-95,436341"
512,AMICA,80,166,"-95,516029"
112,AMICA,15,181,"-95,874625"
287,AMICA,40,181,"-98,394758"
673,AMICA,120,151,"-98,723471"
446,AMICA,70,91,"-99,370936"
407,AMICA,60,171,"-100,416841"
535,AMICA,85,161,"-100,616061"
439,AMICA,65,191,"-101,114111"
219,AMICA,30,176,"-101,632083"
223,AMICA,30,196,"-102,239704"
174,AMICA,25,126,"-102,319392"
795,AMICA,170,186,"-102,857286"
353,AMICA,50,196,"-103,315492"
199,AMICA,30,76,"-104,202021"
394,AMICA,60,106,"-104,500851"
344,AMICA,50,151,"-105,277809"
621,AMICA,105,161,"-105,78582"
746,AMICA,145,166,"-106,801842"
408,AMICA,60,176,"-107,359658"
745,AMICA,145,161,"-107,439346"
83,AMICA,15,36,"-108,335836"
277,AMICA,40,131,"-109,003223"
702,AMICA,130,141,"-109,252248"
620,AMICA,105,156,"-109,640727"
584,AMICA,95,181,"-110,846008"
423,AMICA,65,111,"-110,925696"
320,AMICA,45,186,"-112,469651"
290,AMICA,40,196,"-112,878052"
73,AMICA,10,176,"-113,097194"
478,AMICA,75,121,"-113,645049"
382,AMICA,55,191,"-114,561461"
536,AMICA,85,166,"-116,972023"
522,AMICA,85,96,"-118,43629"
561,AMICA,90,176,"-118,655432"
457,AMICA,70,146,"-119,123599"
404,AMICA,60,156,"-119,711298"
384,AMICA,55,201,"-119,850752"
783,AMICA,160,201,"-120,049972"
203,AMICA,30,96,"-120,079855"
180,AMICA,25,156,"-120,079855"
377,AMICA,55,166,"-120,308958"
400,AMICA,60,136,"-121,454473"
649,AMICA,115,116,"-121,554083"
580,AMICA,95,161,"-121,593927"
425,AMICA,65,121,"-122,241392"
583,AMICA,95,176,"-123,287297"
170,AMICA,25,106,"-123,91484"
369,AMICA,55,126,"-125,060355"
71,AMICA,10,166,"-125,219731"
560,AMICA,90,171,"-125,249614"
465,AMICA,70,186,"-125,488678"
449,AMICA,70,106,"-125,667976"
74,AMICA,10,181,"-125,847274"
440,AMICA,65,196,"-126,434973"
466,AMICA,70,191,"-126,474817"
488,AMICA,75,171,"-127,361346"
77,AMICA,10,196,"-128,118382"
483,AMICA,75,146,"-129,154326"
285,AMICA,40,171,"-129,941245"
461,AMICA,70,166,"-130,200231"
323,AMICA,45,201,"-130,618593"
99,AMICA,15,116,"-131,654537"
216,AMICA,30,161,"-131,744186"
681,AMICA,120,191,"-132,18247"
406,AMICA,60,166,"-132,570949"
72,AMICA,10,171,"-133,148687"
492,AMICA,75,191,"-133,905723"
95,AMICA,15,96,"-134,453578"
777,AMICA,160,171,"-135,300263"
309,AMICA,45,131,"-136,306324"
108,AMICA,15,161,"-136,525466"
372,AMICA,55,141,"-137,431917"
524,AMICA,85,106,"-138,866301"
468,AMICA,70,201,"-138,945989"
503,AMICA,80,121,"-139,095404"
351,AMICA,50,186,"-139,274702"
711,AMICA,130,186,"-143,557932"
781,AMICA,160,191,"-143,757152"
768,AMICA,155,171,"-144,364773"
578,AMICA,95,151,"-144,753252"
106,AMICA,15,151,"-146,277285"
409,AMICA,60,181,"-146,605998"
350,AMICA,50,181,"-147,034321"
121,AMICA,20,41,"-147,22358"
766,AMICA,155,161,"-147,82124"
187,AMICA,25,191,"-148,379056"
467,AMICA,70,196,"-148,408939"
509,AMICA,80,151,"-148,747613"
416,AMICA,65,76,"-149,634142"
341,AMICA,50,136,"-149,81344"
677,AMICA,120,171,"-150,002699"
317,AMICA,45,171,"-150,201919"
355,AMICA,55,56,"-151,058565"
623,AMICA,105,171,"-151,297629"
434,AMICA,65,166,"-151,576537"
609,AMICA,100,201,"-151,915211"
310,AMICA,45,136,"-152,712091"
111,AMICA,15,176,"-153,947255"
161,AMICA,25,61,"-154,186319"
153,AMICA,20,201,"-154,953316"
186,AMICA,25,186,"-156,198441"
367,AMICA,55,116,"-156,497271"
410,AMICA,60,186,"-156,547076"
433,AMICA,65,161,"-158,130875"
581,AMICA,95,166,"-158,569159"
462,AMICA,70,171,"-158,748457"
383,AMICA,55,196,"-159,27639"
44,AMICA,10,31,"-159,47561"
92,AMICA,15,81,"-159,644947"
548,AMICA,90,111,"-159,77444"
504,AMICA,80,126,"-162,443988"
70,AMICA,10,161,"-163,768801"
530,AMICA,85,136,"-165,023887"
411,AMICA,60,191,"-165,571742"
507,AMICA,80,141,"-167,04597"
379,AMICA,55,176,"-170,372944"
349,AMICA,50,176,"-170,372944"
413,AMICA,60,201,"-172,693857"
552,AMICA,90,131,"-173,311439"
381,AMICA,55,186,"-173,958904"
432,AMICA,65,156,"-174,656174"
491,AMICA,75,186,"-175,931182"
780,AMICA,160,186,"-177,20619"
636,AMICA,110,141,"-177,953265"
663,AMICA,115,186,"-178,00307"
184,AMICA,25,176,"-178,99917"
531,AMICA,85,141,"-179,278078"
464,AMICA,70,181,"-180,264217"
68,AMICA,10,151,"-180,533164"
329,AMICA,50,76,"-181,459537"
371,AMICA,55,136,"-181,838055"
352,AMICA,50,191,"-182,316183"
354,AMICA,50,201,"-182,445676"
555,AMICA,90,146,"-182,545286"
380,AMICA,55,181,"-182,804272"
627,AMICA,105,191,"-183,302322"
376,AMICA,55,161,"-183,431815"
6,AMICA,5,36,"-184,059358"
481,AMICA,75,136,"-185,932026"
435,AMICA,65,171,"-186,589452"
107,AMICA,15,156,"-187,46602"
554,AMICA,90,141,"-189,368571"
756,AMICA,150,161,"-189,438298"
173,AMICA,25,121,"-189,816816"
321,AMICA,45,191,"-190,992214"
182,AMICA,25,166,"-191,809016"
576,AMICA,95,141,"-192,117807"
438,AMICA,65,186,"-192,765272"
769,AMICA,155,176,"-193,173673"
373,AMICA,55,146,"-193,532269"
651,AMICA,115,126,"-193,572113"
168,AMICA,25,96,"-194,996536"
43,AMICA,10,26,"-196,371154"
771,AMICA,155,186,"-196,909048"
343,AMICA,50,146,"-197,705928"
458,AMICA,70,151,"-198,791677"
577,AMICA,95,146,"-198,961014"
650,AMICA,115,121,"-199,867465"
603,AMICA,100,171,"-200,036802"
114,AMICA,15,191,"-200,295788"
337,AMICA,50,116,"-201,421381"
162,AMICA,25,66,"-201,789938"
342,AMICA,50,141,"-202,716311"
654,AMICA,115,141,"-203,572957"
132,AMICA,20,96,"-205,973558"
